person_id;ALTSEARCH;DECDIFF;MAX;NEGAFFECT;NEURO;REGRET;SATISF;SELFREPR;t_quest_max;t_quest_min;t_quest_mean;t_quest_std;nr_abandons;nr_scroll;nr_items_scroll;nr_revisit;nr_correct_within_item;nr_correct_between_item;inter_item_interval_max;inter_item_interval_min;inter_item_interval_mean;inter_item_interval_std;time_click_max;time_click_min;time_click_mean;time_click_std;nr_pauses;t_pauses_max;t_pauses_min;t_pauses_mean;t_pauses_std;a_max;a_min;a_mean;a_std;jerk_max;jerk_min;jerk_mean;jerk_std;vt_max;vt_min;vt_mean;vt_std;vx_max;vx_min;vx_mean;vx_std;vy_max;vy_min;vy_mean;vy_std;angles_max;angles_min;angles_mean;angles_std;curvatures_max;curvatures_min;curvatures_mean;curvatures_std;jitter;l_strokes_max;l_strokes_min;l_strokes_mean;l_strokes_std;s;straightness_max;straightness_min;straightness_mean;straightness_std;var_curvatures_max;var_curvatures_min;var_curvatures_mean;var_curvatures_std;w_max;w_min;w_mean;w_std
1;2.50;3.50;2.77;2.8;2.58;2;4.1;2.43;22.18100000000001;0.15500000000000114;6.169677419354838;4.833642634881916;0.0;1.0;8.0;8.0;3.0;0.0;12.979000000000001;0.5409999999999968;2.983571428571427;2.595822276758755;0.011999999999998678;0.0049999999999954525;0.007333333333333076;0.0019840634910464018;2.111111111111111;10.531999999999998;1.1380000000000052;3.767540540540539;2.2591914912867397;131857.367753112;-114572.94954996844;-2.966880410190641e-11;4060.243664707729;14650818.639257243;-27381146.366964664;5.080279553339526e-09;617215.7462478472;2826.124499328152;0.017178448116644037;36.08241634866065;140.7154505459116;2510.8074364484037;1.2631870857956857e-11;29.944795743736695;118.39727660583185;2494.8611866801416;6.3159354289784286e-12;12.625579370111108;77.64513917595859;4.360649720351065;-17.611122285857483;-7.213232174523265;5.18261388550833;2.08737821167783;-10.816649508119223;-0.003942575995548159;0.17765065045289538;0.9636173767672903;826.6997721509663;8.962350273069575;177.39129268891944;187.41679329527722;7120.190173160531;1.0;0.10150689892963133;0.8243365591032781;0.2362488267868269;184.51315499819316;-16.68885508258267;0.02443534057560499;2.2233459158875153;2.9102482270626795;-30.023666805359763;-0.1083840207405381;0.9034176039323835
4;2.67;3.25;3.00;2.6;2.75;2.2;4;2.86;24.751000000000005;0.10199999999998965;5.725666666666667;6.600339396436227;1.0;5.0;14.0;30.0;2.0;0.0;22.253;0.36000000000001364;4.682210526315789;6.452063697428805;0.11200000000000898;0.09399999999999409;0.09924999999999873;0.007462405778305734;2.6666666666666665;20.430000000000003;1.0550000000000068;5.412695652173914;4.834837364602349;12928930.989792459;-13045473.270701244;2.3189363032091187e-09;52065.716010512486;13045473270.638954;-25974404261.107918;-3.5198459533483553e-06;80173962.79497243;15635.07187397455;0.029500188193344143;37.514455492016864;230.15792467051136;13960.548157398609;0.00010316898624247038;31.139770096293486;191.8145526601736;15429.387167987137;5.684341886094049e-11;11.987785581772505;128.35026202728469;25.595838275845203;-3.7405977955943217;13.642941801901282;8.288147840286832;6.382373828163546;-6.417993642544302;0.000741949356219367;0.1580775765745339;0.9741700892412631;1154.7950931586636;5.000000000000455;300.6588797148051;297.0316708581697;14013.753361239957;1.0;0.06220926253181494;0.7224521025897155;0.31504840581727866;65.83397343124797;-29.72019380154661;0.0026341666494804875;0.7848523626566197;140.08159837853123;-5.10517289732086;0.14769233658293143;2.575326268629702
5;2.67;2.58;3.15;2.4;2.67;4.4;3.2;2.86;21.218999999999994;0.10600000000000875;5.38965625;4.672928007479456;0.0;2.0;10.0;9.0;3.0;0.0;4.369;0.3830000000000098;0.7710000000000005;0.8258835384287654;0.15200000000000102;0.13599999999999568;0.13890476190476198;0.003379275237945544;1.2222222222222223;18.766999999999996;1.671999999999997;5.681714285714283;3.579881590790627;6892458.333565013;-6226496.017808695;5.6705174174242155e-11;47026.07440839904;6892458295.293306;-6892458333.63005;-3.5113280261067475e-07;67909449.24373083;7043.525349211469;0.15706319750070438;48.23252518098768;235.49004463422474;6634.796090889647;1.1368683772188099e-10;39.15276410676259;191.81657300834158;3766.9536389571235;0.001721354919940869;19.515485152872728;138.11063256877844;3.5730583811169914;-19.654734053891804;-7.738173877599396;5.717677136302136;8.30535726792047;-11.407360907903929;-0.0004452637911299077;0.25092205840426884;0.9408676224720337;1044.3151169824714;33.000000000000455;363.8744721312814;265.6329775356383;9378.094700402846;1.0;0.1293400517030728;0.5901220023989444;0.27584262842169344;69.85062973051079;-58.17169128760543;-0.005600695348236026;1.7574521399345153;5.071677407258167;-48.934602677807966;-0.08022853166543222;0.8227686009969687
7;2.33;2.50;2.00;2.4;2.42;2.2;4.3;2.43;13.945;0.15200000000001523;3.7067368421052636;3.828424512320621;0.0;2.0;6.0;14.0;5.0;0.0;9.641000000000005;0.34499999999999886;1.4271739130434777;2.065685056431147;0.13799999999999102;0.06699999999999307;0.10247826086956388;0.010989598106420568;1.1666666666666667;9.493000000000002;1.4570000000000007;4.075500000000002;1.8154706414591224;1147995.1251356627;-695221.2197167762;1.1056084595284144e-10;15173.29516177073;172219347.98436132;-229599025.02713233;-3.910585577372562e-08;3930728.090167058;8103.309755152627;0.44925176534929895;55.340958693892176;238.55936816441834;7175.712415088804;0.00028241386189605796;42.20128938389647;208.04747205880014;3764.6753278193924;0.00046153065795848444;23.306923833975716;119.85525309239671;-2.467841400765372;-52.20476966866831;-26.791451186181323;14.763707623831607;6.184002983804739;-7.229549668432491;-0.004211161974528518;0.23023818166051815;0.9455024821832992;1089.554853919496;52.668530857168506;377.20004073637404;284.16786141152915;8159.625788102133;0.9791786556957501;0.03272794263340906;0.49253578247667806;0.36094432523946557;71.46750320900331;-51.06766270728843;0.0010060651179114588;1.1353221883805;-0.00044135573517510904;-78.00734876521193;-0.2743429597462764;1.9739947297036031
8;3.67;3.42;3.08;4.2;3.67;2;3.9;3.29;11.863;0.1150000000000091;3.650903225806451;2.815062508385671;0.0;1.0;5.0;3.0;7.0;1.0;11.314;0.2839999999999918;2.8508076923076917;2.341146580026889;0.15699999999999648;0.06699999999999307;0.10653846153846235;0.019731331525950444;1.4444444444444444;8.061;1.1299999999999955;2.675923076923077;1.4020182409401796;19754221.38826638;-21124318.214432392;6.470071003681152e-10;110100.80670506651;21124318214.631268;-21124318207.126965;-2.8065896102492957e-07;156254372.87123322;23005.913559026994;0.027744420593108145;54.64408346625363;271.31091619005787;22572.794739450608;1.1368683772147709e-10;44.457796338159326;232.90398771596648;6901.339911660687;4.194271241411097e-05;19.914249432255858;141.34443258247762;12.300287360624027;-28.336088405272342;-12.886566218201892;10.314905220638414;11.289509201880676;-7.002533324530499;-0.0013294140613592238;0.25690883017823635;0.9084256955877743;1089.7144566882935;14.000000000000114;230.98501848985467;237.6882164910372;7269.261156176573;1.0;0.07368065291652845;0.616129031108719;0.33875550938732274;80.40133138210808;-144.99294678627962;-0.013259177614606273;2.2173893322166887;14.585991070585138;-69.09785445562565;-0.11569388497867986;1.265081104576306
10;3.58;3.08;2.46;3.4;2.83;1.6;4.2;2.43;13.932000000000002;0.10299999999998022;4.267794871794872;4.106227067169228;0.0;3.0;18.0;15.0;2.0;0.0;4.511000000000024;0.38800000000000523;1.2098500000000012;1.0760170665468127;0.009000000000000341;0.006000000000000227;0.007199999999999563;0.0008717797887074478;1.7222222222222223;11.815000000000012;1.054000000000002;4.020500000000002;2.6000982769887777;227927.45505665522;-317048.37425527145;-1.3649395145864083e-11;6099.778010710812;39631046.7818605;-56536073.58188915;4.206014047970624e-09;1034149.0457994848;5720.8805940393295;0.46819368205094514;39.1315308915973;200.8373170487196;3370.4434012877177;1.421085471520988e-11;28.973552506533697;131.4997527205291;4622.616796790715;0.015059819048683278;18.39618980465348;152.9602337848305;10.234787382422118;-10.61508667771589;-1.8616296773182908;5.779229497649348;3.9363034969611186;-3.2026860460209066;-1.4411806347358599e-05;0.1642670846964186;0.9179986621614664;1064.5459527331006;11.0;210.8204410261281;210.306002894623;7362.8646422915135;1.0;0.055839490249891946;0.7452548305509525;0.3182264065570975;11.874871123065189;-50.472237599639726;-0.011761487329021197;0.9440059772554198;10.267453572295434;-23.685427144914815;-0.004375255605530855;0.5237317442536695
13;2.92;4.08;2.77;2.6;2.75;4.2;2.8;2.86;24.779;0.32399999999998386;5.034423076923076;5.224437519765072;2.0;2.0;15.0;2.0;4.0;0.0;27.931999999999995;0.4969999999999999;3.1181818181818186;5.628238474920772;0.18999999999999773;0.1559999999999775;0.17018181818181793;0.011621439292948467;1.6666666666666667;30.753000000000014;1.4380000000000024;5.212655172413795;6.552584608649302;3037363.1633431385;-2508847.243432817;-1.1166502653559427e-11;28969.826264192954;1012454387.7762792;-1463370654.8807952;-1.3413799231186593e-09;13716562.086291296;14378.333041604754;0.3985401811789679;49.960526194955314;281.5007143758709;8463.511774145956;0.013688747079261487;42.85185416697921;227.7103958306266;14293.621736159856;2.4027618413431204e-05;16.911963305958746;166.62648677221864;12.676780851326935;-33.155660434465396;-11.140917086760824;13.837618235758992;3.973865987979953;-4.755567347513113;-0.00242691040908926;0.15206502627544022;0.9629419599516909;1613.8164472703136;55.804659327826975;320.51966056709256;326.2844763826834;10163.227579068676;0.9991382630846621;0.07409178571651351;0.6560319701232289;0.322515355199854;27.58617830919892;-16.74819474177332;3.768036015231094e-05;0.4331387157856904;22.1151704039892;-41.14710396738762;-0.05895891574586408;0.8375455363270624
15;4.00;2.67;1.69;3;2.75;2.8;3.8;2.57;12.397000000000006;0.10300000000000153;3.3965128205128203;3.4722970219740694;0.0;2.0;8.0;17.0;3.0;0.0;1.9620000000000033;0.291000000000011;0.6131904761904782;0.3697407868130137;0.18200000000000216;0.12000000000000455;0.14995238095238217;0.015527168786406444;1.3333333333333333;9.338999999999999;1.2779999999999987;3.20891304347826;1.715472654174694;6313603.97785257;-6606679.649371551;-1.1446044370053186e-09;73786.13770088556;6606679649.527779;-6606679544.493456;2.2350198565459898e-07;104430947.18020996;8833.013955967204;0.39135011468497716;80.28272420192917;298.2246323844802;7848.702493369717;9.224470431901474e-05;71.138277796874;278.9474142579182;4959.96688229129;5.6843418860536596e-11;23.72277412496827;109.30765144707762;16.798413263087202;-16.31838715239748;-1.0211365524748732;7.390030950036052;3.5235218677079927;-3.4886425813417814;-0.002277531875205189;0.21716828369005547;0.9626212094662835;1238.0598889041053;16.999999999999943;468.56407143737727;290.9223531004173;10777.250482576092;1.0;0.06194177502293382;0.32496308317145994;0.325811590064041;39.77233356476998;-13.175318510151074;0.0031862957986577593;0.5494271151313874;19.368806905673523;-18.96369864974125;5.930189159990088e-05;0.4804746193755219
17;3.42;2.67;3.00;3.4;2.67;3.6;4;2.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;4.00;1.42;2.62;3.4;2.75;2.4;3.2;2.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
